,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Days,Month,PM25_subindex,PM10_subindex,NO2_subindex,NOx_subindex,NH3_subindex,CO_subindex,SO2_subindex,O3_subindex,cal_AQI,AQI_bucket
2985,Ahmedabad,2016-01-21,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,21,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
2997,Ahmedabad,2016-01-22,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,22,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
3000,Ahmedabad,2016-01-23,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,23,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
3015,Ahmedabad,2016-01-24,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,24,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
3019,Ahmedabad,2016-01-25,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,25,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
3027,Ahmedabad,2016-01-26,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,26,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
3035,Ahmedabad,2016-01-27,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,27,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
3050,Ahmedabad,2016-01-28,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,28,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
3055,Ahmedabad,2016-01-29,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,29,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
3069,Ahmedabad,2016-01-30,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,5.291133333333333,27.9406,5.015933333333333,,,30,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6284,Ahmedabad,2017-01-01,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,1,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6298,Ahmedabad,2017-01-02,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,2,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6305,Ahmedabad,2017-01-03,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,3,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6313,Ahmedabad,2017-01-04,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,4,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6320,Ahmedabad,2017-01-05,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,5,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6332,Ahmedabad,2017-01-06,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,6,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6348,Ahmedabad,2017-01-07,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,7,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6357,Ahmedabad,2017-01-08,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,8,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6368,Ahmedabad,2017-01-09,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,9,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6370,Ahmedabad,2017-01-10,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,10,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6385,Ahmedabad,2017-01-11,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,11,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6394,Ahmedabad,2017-01-12,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,12,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6406,Ahmedabad,2017-01-13,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,13,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6413,Ahmedabad,2017-01-14,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,14,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6423,Ahmedabad,2017-01-15,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,15,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6430,Ahmedabad,2017-01-16,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,16,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6439,Ahmedabad,2017-01-17,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,17,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6455,Ahmedabad,2017-01-18,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,18,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6462,Ahmedabad,2017-01-19,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,19,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6470,Ahmedabad,2017-01-20,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,20,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6483,Ahmedabad,2017-01-21,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,21,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6497,Ahmedabad,2017-01-22,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,22,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6505,Ahmedabad,2017-01-23,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,23,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6512,Ahmedabad,2017-01-24,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,24,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6526,Ahmedabad,2017-01-25,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,25,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
6537,Ahmedabad,2017-01-26,77.29182795698925,113.69166666666666,28.375966386554627,66.9715,50.10258333333332,0.0,28.375966386554627,65.83733333333333,43.7509243697479,0.0,0.0,0.0,,,26,1,157.63942652329752,109.12777777777778,83.714375,62.62822916666665,0.0,366.91744933267427,82.29666666666667,43.7509243697479,367.0,Very Poor
